portal_id,portal_code,customer_id,client_id,country_prefix,member_created,member_updated,status,access_right_id,i18n,subject,action,child_id,parent_id,is_mobile,other_child
Bigint,string,Bigint,Bigint,string,Bigint,Bigint,Smallint,Bigint,string,string,string,Bigint,Bigint,Boolean,string
1,,0,0,84,0,0,1,124,AccessRights.ordersManager.requestFullTruckManager.create,ordersManager.requestFullTruckManager,create,39,5,FALSE,
1,,0,0,84,0,0,1,125,AccessRights.ordersManager.requestFullTruckManager.update,ordersManager.requestFullTruckManager,update,39,5,FALSE,
1,,0,0,84,0,0,1,126,AccessRights.ordersManager.requestFullTruckManager.delete,ordersManager.requestFullTruckManager,delete,39,5,FALSE,
1,,0,0,84,0,0,1,127,AccessRights.ordersManager.requestFullTruckManager.export,ordersManager.requestFullTruckManager,export,39,5,FALSE,
1,,0,0,84,0,0,1,128,AccessRights.ordersManager.requestFullTruckManager.update_status,ordersManager.requestFullTruckManager,update_status,39,5,FALSE,
1,,0,0,84,0,0,1,129,AccessRights.warehouse.depotGate.read,warehouse.depotGate,read,40,14,FALSE,
1,,0,0,84,0,0,1,130,AccessRights.warehouse.depotGate.create,warehouse.depotGate,create,40,14,FALSE,
1,,0,0,84,0,0,1,131,AccessRights.warehouse.depotGate.update,warehouse.depotGate,update,40,14,FALSE,
1,,0,0,84,0,0,1,132,AccessRights.warehouse.sheving.read,warehouse.sheving,read,41,14,FALSE,
1,,0,0,84,0,0,1,133,AccessRights.warehouse.sheving.create,warehouse.sheving,create,41,14,FALSE,
1,,0,0,84,0,0,1,134,AccessRights.warehouse.sheving.update,warehouse.sheving,update,41,14,FALSE,
1,,0,0,84,0,0,1,135,AccessRights.warehouse.container.read,warehouse.container,read,42,14,FALSE,
1,,0,0,84,0,0,1,136,AccessRights.warehouse.container.create,warehouse.container,create,42,14,FALSE,
1,,0,0,84,0,0,1,137,AccessRights.warehouse.container.update,warehouse.container,update,42,14,FALSE,
1,,0,0,84,0,0,1,138,AccessRights.depotRequestProvider.good.read,depotRequestProvider.good,read,43,15,FALSE,
1,,0,0,84,0,0,1,139,AccessRights.depotRequestProvider.good.create,depotRequestProvider.good,create,43,15,FALSE,
1,,0,0,84,0,0,1,140,AccessRights.depotRequestProvider.good.update,depotRequestProvider.good,update,43,15,FALSE,
1,,0,0,84,0,0,1,141,AccessRights.depotRequestProvider.po.read,depotRequestProvider.po,read,45,15,FALSE,
1,,0,0,84,0,0,1,142,AccessRights.depotRequestProvider.po.create,depotRequestProvider.po,create,45,15,FALSE,
1,,0,0,84,0,0,1,143,AccessRights.depotRequestProvider.po.update,depotRequestProvider.po,update,45,15,FALSE,
